Sample	MaterialSampleID	Sequenced	SeqMethod	Fraction	FractionGroup	DeployedDate	RetrievedDate	RetrievedYear	ARMSUnit
ERR12541482	blank	Aug-23	miseq	blank	blank	blank	blank	blank	blank
ERR12541481	blank	Aug-23	miseq	blank	blank	blank	blank	blank	blank
ERR3460471	blank	Jul-19	miseq	blank	blank	blank	blank	blank	blank
ERR4018471	blank	Jan-20	miseq	blank	blank	blank	blank	blank	blank
ERR4914160	blank	Sep-20	miseq	blank	blank	blank	blank	blank	blank
ERR7125582	blank	May-21	miseq	blank	blank	blank	blank	blank	blank
ERR12541416	ARMS_Koster_VH1_20200716_20210608_MF100	Aug-23	miseq	MF	MF100	200716	210608	2021	VH1
ERR12541417	ARMS_Koster_VH1_20200716_20210608_MF500	Aug-23	miseq	MF	MF500	200716	210608	2021	VH1
ERR12541418	ARMS_Koster_VH1_20200716_20210608_SF40	Aug-23	miseq	SF	SF40	200716	210608	2021	VH1
ERR12541419	ARMS_Koster_VH2_20200716_20210608_MF100	Aug-23	miseq	MF	MF100	200716	210608	2021	VH2
ERR12541420	ARMS_Koster_VH2_20200716_20210608_MF500	Aug-23	miseq	MF	MF500	200716	210608	2021	VH2
ERR12541421	ARMS_Koster_VH2_20200716_20210608_SF40	Aug-23	miseq	SF	SF40	200716	210608	2021	VH2
ERR12541422	ARMS_Koster_VH3_20200716_20210608_MF100	Aug-23	miseq	MF	MF100	200716	210608	2021	VH3
ERR12541423	ARMS_Koster_VH3_20200716_20210608_MF500	Aug-23	miseq	MF	MF500	200716	210608	2021	VH3
ERR12541424	ARMS_Koster_VH3_20200716_20210608_SF40	Aug-23	miseq	SF	SF40	200716	210608	2021	VH3
ERR12541475	ARMS_Koster_VH1_20190527_20200716_MF100	Aug-23	miseq	MF	MF100	190527	200716	2020	VH1
ERR12541476	ARMS_Koster_VH1_20190527_20200716_MF500	Aug-23	miseq	MF	MF500	190527	200716	2020	VH1
ERR4018451	ARMS_Koster_VH2_20180418_20180906_SF40_DMSO	Jul-19	miseq	SF	SF40	180418	180906	2019	VH2
ERR4018454	ARMS_Koster_VH2_20180418_20180906_SED100_DMSO	Jul-19	miseq	SED	SED100	180418	180906	2018	VH2
ERR4018455	ARMS_Koster_VH2_20180418_20180906_SED500_DMSO	Jul-19	miseq	SED	SED500	180418	180906	2018	VH2
ERR4018466	ARMS_Koster_VH1_20180418_20190527_MF500_DMSO	Jan-20	miseq	MF	MF500	180418	190527	2019	VH1
ERR4018467	ARMS_Koster_VH1_20180418_20190527_MF100_DMSO	Jan-20	miseq	MF	MF100	180418	190527	2019	VH1
ERR4018468	ARMS_Koster_VH1_20180418_20190527_SF40_DMSO	Jan-20	miseq	SF	SF40	180418	190527	2019	VH1
ERR4018469	ARMS_Koster_VH3_20180418_20190527_MF500_DMSO	Jan-20	miseq	MF	MF500	180418	190527	2019	VH3
ERR4018470	ARMS_Koster_VH3_20180418_20190527_MF100_DMSO	Jan-20	miseq	MF	MF100	180418	190527	2019	VH3
ERR4914103	ARMS_Koster_VH1_20190527_20200716_MF100	Sep-20	miseq	MF	MF100	190527	200716	2020	VH1
ERR4914104	ARMS_Koster_VH1_20190527_20200716_MF500	Sep-20	miseq	MF	MF500	190527	200716	2020	VH1
ERR4914105	ARMS_Koster_VH1_20190527_20200716_SF40	Sep-20	miseq	SF	SF40	190527	200716	2020	VH1
ERR4914106	ARMS_Koster_VH3_20190527_20200716_MF100	Sep-20	miseq	MF	MF100	190527	200716	2020	VH3
ERR4914107	ARMS_Koster_VH3_20190527_20200716_MF500	Sep-20	miseq	MF	MF500	190527	200716	2020	VH3
ERR4914108	ARMS_Koster_VH3_20190527_20200716_SF40	Sep-20	miseq	SF	SF40	190527	200716	2020	VH3
ERR4914109	ARMS_Koster_VH2_20190527_20200716_MF100	Sep-20	miseq	MF	MF100	190527	200716	2020	VH2
ERR4914110	ARMS_Koster_VH2_20190527_20200716_MF500	Sep-20	miseq	MF	MF500	190527	200716	2020	VH2
ERR4914111	ARMS_Koster_VH2_20190527_20200716_SF40	Sep-20	miseq	SF	SF40	190527	200716	2020	VH2
ERR7127610	ARMS_Koster_VH3_20180418_20190527_SF40_DMSO	May-21	miseq	SF	SF40	180418	190527	2019	VH3
