Sample	MaterialSampleID	Sequenced	SeqMethod	Fraction	FractionGroup	DeployedDate	RetrievedDate	RetrievedYear	ARMSUnit
CEB_DETOSTA_1	blank	Feb-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DEUOSTA_1	blank	Feb-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DEVOSTA_1	blank	Feb-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DEWOSTA_1	blank	Feb-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DFDOSTA_1	blank	Apr-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DFEOSTA_1	blank	Apr-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DKPOSTA_2	blank	Sep-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DKQOSTA_2	blank	Sep-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DLFOSTA_1	blank	Sep-24	novaseq	blank	blank	blank	blank	blank	blank
CEB_DLGOSTA_2	blank	Sep-24	novaseq	blank	blank	blank	blank	blank	blank
DBQ_AAICOSTA_1	ARMS_Koster_VH1_Ha_210608_220608_SF40_1	Feb-24	novaseq	SF	SF40	210608	220608	2022	VH1
DBQ_AAIDOSTA_1	ARMS_Koster_VH1_Ha_210608_220608_SF40_2	Feb-24	novaseq	SF	SF40	210608	220608	2022	VH1
DBQ_AAIEOSTA_1	ARMS_Koster_VH1_Ha_210608_220608_MF100_1	Feb-24	novaseq	MF	MF100	210608	220608	2022	VH1
DBQ_AAIFOSTA_2	ARMS_Koster_VH1_Ha_210608_220608_MF100_2	Mar-24	novaseq	MF	MF100	210608	220608	2022	VH1
DBQ_AAIGOSTA_2	ARMS_Koster_VH1_Ha_210608_220608_MF500_1	Mar-24	novaseq	MF	MF500	210608	220608	2022	VH1
DBQ_AAIMOSTA_1	ARMS_Koster_VH1_Ha_210608_220608_MF500_2	Feb-24	novaseq	MF	MF500	210608	220608	2022	VH1
DBQ_AAIMOSTA_2	ARMS_Koster_VH1_Ha_210608_220608_MF500_2	Apr-24	novaseq	MF	MF500	210608	220608	2022	VH1
DBQ_AAMKOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_SF40_1	Apr-24	novaseq	SF	SF40	210608	220609	2022	VH3
DBQ_AAMLOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_SF40_2	Apr-24	novaseq	SF	SF40	210608	220609	2022	VH3
DBQ_AAMMOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_MF100_1	Apr-24	novaseq	MF	MF100	210608	220609	2022	VH3
DBQ_AAMNOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_MF100_2	Apr-24	novaseq	MF	MF100	210608	220609	2022	VH3
DBQ_AAMOOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_MF500_1	Apr-24	novaseq	MF	MF500	210608	220609	2022	VH3
DBQ_AAMPOSTA_1	ARMS_Koster_VH3_Ha_210608_220609_MF500_2	Apr-24	novaseq	MF	MF500	210608	220609	2022	VH3
DBQ_ABBQOSTA_2	ARMS_Koster_VH1_Ha_220608_230817_SF_2	Sep-24	novaseq	SF	SF40	220608	230817	2023	VH1
DBQ_ABBROSTA_2	ARMS_Koster_VH1_Ha_220608_230817_MF100_1	Sep-24	novaseq	MF	MF100	220608	230817	2023	VH1
DBQ_ABBSOSTA_2	ARMS_Koster_VH1_Ha_220608_230817_MF100_2	Sep-24	novaseq	MF	MF100	220608	230817	2023	VH1
DBQ_ABBTOSTA_2	ARMS_Koster_VH1_Ha_220608_230817_MF500_1	Sep-24	novaseq	MF	MF500	220608	230817	2023	VH1
DBQ_ABBUOSTA_2	ARMS_Koster_VH1_Ha_220608_230817_MF500_2	Sep-24	novaseq	MF	MF500	220608	230817	2023	VH1
DBQ_ABBVOSTA_2	ARMS_Koster_VH3_Ha_220608_230817_blank	Sep-24	novaseq	blank	blank	220608	230817	2023	VH3
DBQ_ABBWOSTA_2	ARMS_Koster_VH2_Ha_220608_230817_SF_1	Sep-24	novaseq	SF	SF40	220608	230817	2023	VH2
DBQ_ABBXOSTA_2	ARMS_Koster_VH2_Ha_220608_230817_SF_2	Sep-24	novaseq	SF	SF40	220608	230817	2023	VH2
