Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
6021655;1137;Laonome xeprovala;;Art;7;Brackvatten (B) - Stor betydelse;NA;
227636;1180;Ficopomatus enigmaticus;australisk kalkrörsmask;Art;75;Brackvatten (B) - Stor betydelse, Marin miljö (M) - Har betydelse;NA;
227301;1308;Boccardiella ligerica;;Art;5;Brackvatten (B) - Stor betydelse, Marin miljö (M) - Stor betydelse;NA;
261342;1333;Marenzelleria arctia;;Art;8;Brackvatten (B) - Stor betydelse, Marin miljö (M) - Stor betydelse;NA;
247778;1334;Marenzelleria neglecta;;Art;1018;Brackvatten (B) - Stor betydelse, Marin miljö (M) - Stor betydelse;NA;
227313;1335;Marenzelleria viridis;;Art;2538;Marin miljö (M) - Stor betydelse, Brackvatten (B) - Har betydelse;NA;
227331;1349;Polydora websteri;;Art;9;Marin miljö (M) - Stor betydelse;NA;
225590;2170;Dichogaster bolaui;;Art;0;;NA;
225591;2171;Dichogaster saliens;;Art;0;;NA;
6007714;2181;Aporrectodea trapezoides;;Art;1;;NA;
6007888;2185;Bimastos parvus;;Art;0;;NA;
225578;2193;Dendrobaena hortensis;;Art;0;;NA;
6007690;2223;Amynthas corticis;;Art;0;;NA;
225623;2552;Branchiura sowerbyi;;Art;15;Sötvatten (L) - Stor betydelse;NA;
6008077;2588;Limnodrilus cervix;;Art;0;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;NA;
225600;2601;Potamothrix bavaricus;;Art;1;Sötvatten (L) - Stor betydelse;NA;
225601;2602;Potamothrix bedoti;;Art;13;Sötvatten (L) - Stor betydelse;NA;
225602;2603;Potamothrix heuscheri;;Art;2;Sötvatten (L) - Stor betydelse;NA;
225603;2604;Potamothrix moldaviensis;;Art;11;Sötvatten (L) - Stor betydelse;NA;
225604;2605;Potamothrix vejdovskyi;;Art;9;Sötvatten (L) - Stor betydelse;NA;
6035057;2716;Orthochordeumella pallida;större spinndubbelfoting;Art;6;;NA;
200853;2725;Brachychaeteuma bradeae;snaggfoting;Art;48;Urban miljö (U) - Stor betydelse;NA;
