Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
227448;1499;Alkmaria romijni;;Art;110;Brackvatten (B) - Stor betydelse;NT;D2
227449;1502;Amage auricula;;Art;14;Marin miljö (M) - Stor betydelse;CR (PRE);D
227474;1539;Lysippe fragilis;;Art;51;Marin miljö (M) - Stor betydelse;EN;B1ab(iii)
227473;1540;Lysippe labiata;;Art;0;Marin miljö (M) - Stor betydelse;VU;D2
227482;1557;Samytha sexcirrata;;Art;81;Marin miljö (M) - Stor betydelse;VU;"B1ab(i,ii); D2"
227485;1564;Sosane wireni;;Art;18;Marin miljö (M) - Stor betydelse;VU;D2
227506;1625;Eupolymnia nesidensis;;Art;98;Marin miljö (M) - Stor betydelse;VU;B1ab(i,ii,iii)+2ab(i,ii,iii)
227513;1638;Neoamphitrite affinis;;Art;83;Marin miljö (M) - Stor betydelse;VU;D2
227528;1661;Proclea graffii;;Art;137;Marin miljö (M) - Stor betydelse;VU;D2
227497;1683;Trichobranchus glacialis;;Art;24;Marin miljö (M) - Stor betydelse;VU;D2
101516;2662;Pauropus lanceolatus;lansettfåfoting;Art;0;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2a
200841;2678;Decapauropus multiplex;spatelfåfoting;Art;0;Skog (S) - Stor betydelse;NT;"B2a; D2"
100242;2682;Decapauropus verticillatus;kransfåfoting;Art;9;Skog (S) - Stor betydelse;NT;B2a
101369;2722;Nanogona polydesmoides;kölfoting;Art;19;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;"B1a+2a; D2"
101279;2788;Megaphyllum sjaelandicum;skuggkejsarfoting;Art;2;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;CR;B1ab(ii,iii,v)+2ab(ii,iii,v)
200883;2818;Julus scanicus;ålkejsarfoting;Art;26;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(ii,iii,iv)
200923;2897;Lithobius lapidicola;dvärgstenkrypare;Art;41;Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2a
200925;2898;Lithobius lucifugus;ölandsstenkrypare;Art;30;Jordbrukslandskap (J) - Stor betydelse;NT;D2
